City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,75.2,light rain,-21.2078,-159.775,Paradise Inn
5,Mudon,MM,80.67,broken clouds,16.2578,97.7164,Motel Mudon
7,Georgetown,MY,77.0,scattered clouds,5.4112,100.3354,Cititel Penang
8,Kapaa,US,78.01,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
12,Hilo,US,80.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Mecca,SA,86.27,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
18,Rikitea,PF,77.86,light rain,-23.1203,-134.9692,Pension Maro'i
24,Tangkak,MY,78.8,few clouds,2.2673,102.5453,Lakeside Village Homestay 水乡民宿
27,Puerto Leguizamo,CO,82.85,scattered clouds,-0.1934,-74.7819,la casona de juancho
36,Kloulklubed,PW,75.2,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
38,Kavieng,PG,80.51,light rain,-2.5744,150.7967,Nusa Island Retreat
41,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
55,Hithadhoo,MV,82.69,scattered clouds,-0.6,73.0833,Scoop Guest House
59,Luwuk,ID,76.84,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
62,Saint George,US,75.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Coruripe,BR,80.94,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
68,Soyo,AO,79.86,scattered clouds,-6.1349,12.3689,Hotel Mpampa
69,Atuona,PF,80.83,scattered clouds,-9.8,-139.0333,Villa Enata
73,Touros,BR,82.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
76,Guaruja,BR,75.2,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
78,Cabo San Lucas,MX,84.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
79,La Asuncion,VE,87.8,clear sky,11.0333,-63.8628,Colinas de Matasiete
80,Olupona,NG,78.15,light rain,7.6,4.1833,Mark Hall
81,Luziania,BR,80.6,scattered clouds,-16.2525,-47.9503,HOTEL SARON
85,Saint-Philippe,RE,77.0,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Ibra,OM,78.55,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
87,Diu,IN,78.94,overcast clouds,20.7141,70.9822,Hotel Relax Inn
89,Jacobabad,PK,88.93,clear sky,28.281,68.4388,Sardar Hotel
92,Barra Patuca,HN,84.27,clear sky,15.8,-84.2833,
93,Souillac,MU,78.8,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
95,Puri,IN,80.6,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
